"","INSTNM","CITY","STABBR","ZIP","CONTROL","ADM_RATE","SAT_AVG","TUITIONFEE_IN","TUITIONFEE_OUT","UGDS","REGION","DEP_INC_PCT_H2","MD_INC_WDRAW_2YR_TRANS_YR4_RT","IND_COMP_4YR_TRANS_YR4_RT","SD_EARN_WNE_P10","FEMALE_WDRAW_4YR_TRANS_YR6_RT","LO_INC_COMP_2YR_TRANS_YR3_RT","NOLOAN_COMP_ORIG_YR4_RT","OPENADMP","PELL_COMP_4YR_TRANS_YR3_RT","DEATH_YR2_RT","NOLOAN_UNKN_ORIG_YR2_RT","NOT1STGEN_WDRAW_ORIG_YR6_RT","HI_INC_YR8_N","CUML_DEBT_P90","C100_L4"
"1","Alabama A & M University","Normal","AL","35762",1,"0.9027","929","9857","18236","4824",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2","University of Alabama at Birmingham","Birmingham","AL","35294-0110",1,"0.9181","1195","8328","19032","12866",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"3","Amridge University","Montgomery","AL","36117-3553",2,"NULL","NULL","6900","6900","322",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4","University of Alabama in Huntsville","Huntsville","AL","35899",1,"0.8123","1322","10280","21480","6917",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5","Alabama State University","Montgomery","AL","36104-0271",1,"0.9787","935","11068","19396","4189",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"6","The University of Alabama","Tuscaloosa","AL","35487-0166",1,"0.533","1278","10780","28100","32387",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"7","Central Alabama Community College","Alexander City","AL","35010",1,"NULL","NULL","4440","8010","1404",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1856"
"8","Athens State University","Athens","AL","35611",1,"NULL","NULL","NULL","NULL","2801",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"9","Auburn University at Montgomery","Montgomery","AL","36117-3596",1,"0.8254","1083","8020","17140","4211",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"10","Auburn University","Auburn","AL","36849",1,"0.8393","1282","10968","29640","23391",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"11","Birmingham Southern College","Birmingham","AL","35254",2,"0.6186","1231","35804","35804","1283",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"12","Chattahoochee Valley Community College","Phenix City","AL","36869",1,"NULL","NULL","4314","7884","1370",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1157"
"13","Concordia College Alabama","Selma","AL","36701",2,"NULL","NULL","10320","10320","389",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"14","South University-Montgomery","Montgomery","AL","36116",3,"NULL","NULL","17014","17014","369",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"15","Enterprise State Community College","Enterprise","AL","36330-1300",1,"NULL","NULL","4440","8010","1365",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1076"
"16","Coastal Alabama Community College","Bay Minette","AL","36507-2698",1,"NULL","NULL","4380","7890","4101",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0176"
"17","Faulkner University","Montgomery","AL","36109-3390",2,"0.5101","1031","20970","20970","2272",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"18","Gadsden State Community College","Gadsden","AL","35903",1,"NULL","NULL","3600","6456","4349",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0948"
"19","New Beginning College of Cosmetology","Albertville","AL","35951",3,"NULL","NULL","NULL","NULL","83",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.4138"
"20","George C Wallace Community College-Dothan","Dothan","AL","36303-9234",1,"NULL","NULL","4380","7950","3836",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1158"
"21","George C Wallace State Community College-Hanceville","Hanceville","AL","35077-2000",1,"NULL","NULL","3726","6582","4805",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1415"
"22","George C Wallace State Community College-Selma","Selma","AL","36703-2808",1,"NULL","NULL","4140","7710","1217",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0261"
"23","Herzing University-Birmingham","Birmingham","AL","35209",2,"0.757","NULL","13850","13850","537",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"24","Huntingdon College","Montgomery","AL","36106-2148",2,"0.5598","1085","26400","26400","1099",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"25","Heritage Christian University","Florence","AL","35630-9977",2,"1","1030","11232","11232","59",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"26","J. F. Drake State Community and Technical College","Huntsville","AL","35811",1,"NULL","NULL","4410","7980","685",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0897"
"27","J F Ingram State Technical College","Deatsville","AL","36022",1,"NULL","NULL","4968","4968","449",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.3534"
"28","Jacksonville State University","Jacksonville","AL","36265",1,"0.5402","1121","8166","15582","6622",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"29","Jefferson Davis Community College","Brewton","AL","36426",1,"NULL","NULL","4088","7598","720",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2047"
"30","Jefferson State Community College","Birmingham","AL","35215-3098",1,"NULL","NULL","4500","8070","7052",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0456"
"31","John C Calhoun State Community College","Tanner","AL","35671",1,"NULL","NULL","4520","8090","8247",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1509"
"32","Judson College","Marion","AL","36756",2,"0.507","1085","17896","17896","315",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"33","Lawson State Community College","Birmingham","AL","35221-1717",1,"NULL","NULL","4440","8010","3034",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1032"
"34","University of West Alabama","Livingston","AL","35470",1,"0.2821","1041","9204","16818","2106",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"35","Lurleen B Wallace Community College","Andalusia","AL","36420-1418",1,"NULL","NULL","4440","8010","1354",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.222"
"36","Marion Military Institute","Marion","AL","36756-3207",1,"0.5587","1138","9418","15418","444",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.3116"
"37","Miles College","Fairfield","AL","35064-2621",2,"NULL","NULL","11794","11794","1647",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"38","University of Mobile","Mobile","AL","36613-2842",2,"0.4702","1113","22210","22210","1276",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"39","University of Montevallo","Montevallo","AL","35115-6000",1,"0.6445","1143","12400","25030","2329",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"40","Northwest-Shoals Community College","Muscle Shoals","AL","35661",1,"NULL","NULL","4411","7921","2698",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1372"
"41","University of North Alabama","Florence","AL","35632-0001",1,"0.7022","1104","8480","15128","5771",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"42","Northeast Alabama Community College","Rainsville","AL","35986",1,"NULL","NULL","4440","8010","1983",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1873"
"43","Oakwood University","Huntsville","AL","35896",2,"0.4707","1005","16720","16720","1623",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"44","Alabama Southern Community College","Monroeville","AL","36460",1,"NULL","NULL","4380","7890","765",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.303"
"45","Reid State Technical College","Evergreen","AL","36401",1,"NULL","NULL","4500","8070","285",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1519"
"46","Bishop State Community College","Mobile","AL","36603-5898",1,"NULL","NULL","4440","8010","2623",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1067"
"47","Samford University","Birmingham","AL","35229-2240",2,"0.8319","1230","30490","30490","3364",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"48","Selma University","Selma","AL","36701",2,"NULL","NULL","7115","7115","311",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"49","Shelton State Community College","Tuscaloosa","AL","35405-8522",1,"NULL","NULL","4189","7759","4230",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0682"
"50","Snead State Community College","Boaz","AL","35957-0734",1,"NULL","NULL","4500","8070","1891",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.3112"
"51","University of South Alabama","Mobile","AL","36688-0002",1,"0.8208","1142","7812","15324","10712",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"52","Spring Hill College","Mobile","AL","36608-1791",2,"0.4568","1156","37584","37584","1375",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"53","Stillman College","Tuscaloosa","AL","35401",2,"0.4812","NULL","10792","10792","633",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"54","Talladega College","Talladega","AL","35160",2,"NULL","NULL","12340","12340","782",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"55","H Councill Trenholm State Community College","Montgomery","AL","36108-3199",1,"NULL","NULL","4350","7920","1610",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2096"
"56","Troy University","Troy","AL","36082-0001",1,"0.8812","1085","8692","16276","13634",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"57","Tuskegee University","Tuskegee","AL","36088-1920",2,"0.5032","1036","22170","22170","2833",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"58","United States Sports Academy","Daphne","AL","36526-7055",2,"NULL","NULL","NULL","NULL","88",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"59","Bevill State Community College","Jasper","AL","35501",1,"NULL","NULL","4766","8574","3029",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.111"
"60","University of Alaska Anchorage","Anchorage","AK","99508",1,"0.8283","NULL","6690","19494","11332",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"61","Alaska Bible College","Palmer","AK","99645",2,"NULL","NULL","9350","9350","31",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"62","University of Alaska Fairbanks","Fairbanks","AK","99775",1,"0.767","1094","6262","19183","4910",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"63","University of Alaska Southeast","Juneau","AK","99801-8697",1,"0.7105","NULL","6828","19533","1214",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"64","Alaska Pacific University","Anchorage","AK","99508",2,"0.86","NULL","20760","20760","247",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"65","AVTEC-Alaska's Institute of Technology","Seward","AK","99664-0889",1,"NULL","NULL","NULL","NULL","967",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.901"
"66","Charter College","Vancouver","WA","98683-7575",3,"NULL","NULL","21908","21908","2640",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"67","Alaska Career College","Anchorage","AK","99507-1033",3,"NULL","NULL","NULL","NULL","430",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.6903"
"68","Empire Beauty School-Tucson","Tucson","AZ","85716",3,"NULL","NULL","NULL","NULL","118",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
"69","Thunderbird School of Global Management","Glendale","AZ","85306-6000",1,"NULL","NULL","NULL","NULL","NULL",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"70","American Institute of Trucking","Phoenix","AZ","85043-4380",3,"NULL","NULL","NULL","NULL","244",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0056"
"71","Carrington College-Phoenix North","Phoenix","AZ","85051-4063",3,"0.7062","NULL","NULL","NULL","519",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.1866"
"72","Carrington College-Mesa","Mesa","AZ","85210",3,"0.553","NULL","NULL","NULL","500",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.2512"
"73","Carrington College-Tucson","Tucson","AZ","85745",3,"0.9451","NULL","NULL","NULL","269",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.1887"
"74","CollegeAmerica-Flagstaff","Flagstaff","AZ","86001",2,"NULL","NULL","16968","16968","78",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"75","Arizona Academy of Beauty-East","Tucson","AZ","85712",3,"NULL","NULL","NULL","NULL","54",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5455"
"76","Platt College-Arizona Automotive Institute Arizona","Glendale","AZ","85301-3579",3,"NULL","NULL","NULL","NULL","785",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5463"
"77","Brookline College-Phoenix","Phoenix","AZ","85021",3,"NULL","NULL","NULL","NULL","1056",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"78","Arizona State University-Tempe","Tempe","AZ","85287",1,"0.8415","1235","10792","27372","42181",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"79","Arizona Western College","Yuma","AZ","85365-8834",1,"NULL","NULL","2660","9650","6879",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0882"
"80","University of Arizona","Tucson","AZ","85721-0066",1,"0.8358","NULL","11877","35307","33428",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"81","Southwest University of Visual Arts-Tucson","Tucson","AZ","85716",3,"NULL","NULL","23044","23044","125",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"82","Central Arizona College","Coolidge","AZ","85128-9030",1,"NULL","NULL","2580","11100","4822",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.153"
"83","Charles of Italy Beauty College","Lake Havasu City","AZ","86403",3,"NULL","NULL","NULL","NULL","51",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2667"
"84","Cochise County Community College District","Sierra Vista","AZ","85635-2317",1,"NULL","NULL","1968","6240","3528",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1519"
"85","Empire Beauty School-Flagstaff","Flagstaff","AZ","86004",3,"NULL","NULL","NULL","NULL","37",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
"86","Empire Beauty School-Chandler","Chandler","AZ","85224",3,"NULL","NULL","NULL","NULL","66",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
"87","Cortiva Institute-Tucson","Tucson","AZ","85710",3,"NULL","NULL","NULL","NULL","79",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.7857"
"88","Avalon School of Cosmetology-Mesa","Mesa","AZ","85210",3,"NULL","NULL","NULL","NULL","298",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.6309"
"89","Eastern Arizona College","Thatcher","AZ","85552-0769",1,"NULL","NULL","2550","11250","3729",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2692"
"90","Embry-Riddle Aeronautical University-Prescott","Prescott","AZ","86301-3720",2,"0.7652","1245","34662","34662","2598",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"91","School of Architecture at Taliesin","Scottsdale","AZ","85259",2,"NULL","NULL","NULL","NULL","NULL",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"92","Glendale Community College","Glendale","AZ","85302",1,"NULL","NULL","2094","7878","14609",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0737"
"93","Grand Canyon University","Phoenix","AZ","85017",3,"0.6692","NULL","17050","17050","48666",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"94","GateWay Community College","Phoenix","AZ","85034",1,"NULL","NULL","2094","7878","4365",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0993"
"95","Mesa Community College","Mesa","AZ","85202",1,"NULL","NULL","2094","7878","15759",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0757"
"96","Mohave Community College","Kingman","AZ","86409-1238",1,"NULL","NULL","2112","6972","2875",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1349"
"97","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","Phoenix","AZ","85027",3,"NULL","NULL","NULL","NULL","1020",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.3937"
"98","Dine College","Tsaile","AZ","86556",1,"NULL","NULL","1410","1410","1363",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"99","Northern Arizona University","Flagstaff","AZ","86011-4092",1,"0.8085","NULL","11059","24841","26974",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"100","Northland Pioneer College","Holbrook","AZ","86025-0610",1,"NULL","NULL","1808","8360","1453",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1528"
"101","Ottawa University-Phoenix","Phoenix","AZ","85021",2,"NULL","NULL","NULL","NULL","329",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"102","Phoenix College","Phoenix","AZ","85013",1,"NULL","NULL","2094","7878","9147",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0943"
"103","Cortiva Institute-Scottsdale","Scottsdale","AZ","85257",3,"NULL","NULL","NULL","NULL","82",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.76"
"104","Pima Community College","Tucson","AZ","85709-1275",1,"NULL","NULL","2118","7434","20165",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0752"
"105","Pima Medical Institute-Tucson","Tucson","AZ","85716",3,"NULL","NULL","NULL","NULL","2300",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"106","Pima Medical Institute-Albuquerque","Albuquerque","NM","87110",3,"NULL","NULL","NULL","NULL","820",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.3663"
"107","Prescott College","Prescott","AZ","86301",2,"0.9526","1132","30501","30501","350",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"108","Refrigeration School Inc","Phoenix","AZ","85034-1816",3,"NULL","NULL","NULL","NULL","732",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.476"
"109","Rio Salado College","Tempe","AZ","85281",1,"NULL","NULL","2094","7878","6086",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0973"
"110","Roberto-Venn School of Luthiery","Phoenix","AZ","85007",3,"NULL","NULL","NULL","NULL","24",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.7143"
"111","Hair Academy of Safford","Safford","AZ","85546",3,"NULL","NULL","NULL","NULL","38",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2609"
"112","Scottsdale Community College","Scottsdale","AZ","85256",1,"NULL","NULL","2094","7878","6025",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0956"
"113","South Mountain Community College","Phoenix","AZ","85042",1,"NULL","NULL","2094","7878","3167",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1231"
"114","Arizona Christian University","Phoenix","AZ","85032-7097",2,"0.6444","956","24958","24958","696",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"115","Universal Technical Institute of Arizona Inc","Avondale","AZ","85323",3,"NULL","NULL","NULL","NULL","1860",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2482"
"116","Western International University","Tempe","AZ","85282",3,"NULL","NULL","6000","6000","597",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"117","Empire Beauty School-NW Phoenix","Phoenix","AZ","85051",3,"NULL","NULL","NULL","NULL","109",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
"118","Yavapai College","Prescott","AZ","86301",1,"NULL","NULL","2280","8976","4682",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1693"
"119","University of Arkansas at Little Rock","Little Rock","AR","72204",1,"0.7463","1105","8998","21208","6677",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"120","University of Arkansas for Medical Sciences","Little Rock","AR","72205-7199",1,"NULL","NULL","NULL","NULL","633",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"121","Arkansas Baptist College","Little Rock","AR","72202-6068",2,"NULL","NULL","8760","8760","593",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"122","Arkansas Beauty School-Little Rock","Little Rock","AR","72209",3,"NULL","NULL","NULL","NULL","129",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
"123","Arkansas Beauty College","Russellville","AR","72801",3,"NULL","NULL","NULL","NULL","27",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.4"
"124","Lyon College","Batesville","AR","72501",2,"0.6418","1202","27340","27340","664",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
